vial,start.num,start.date,type,wasp,6/17/2024_S,6/17/2024_Z,6/18/2024_S,6/18/2024_Z,6/20/2024_S,6/20/2024_Z,6/21/2024_S,6/21/2024_Z,6/24/2024_S,6/24/2024_Z,6/25/2024_S,6/25/2024_Z,6/26/2024_S,6/26/2024_Z,6/27/2024_S,6/27/2024_Z
1,50,6/5/2024,ZS,N,16,1,0,7,0,11,0,0,0,0,0,0,0,0,0,0
2,50,6/5/2024,ZS,N,9,0,2,12,1,5,0,0,0,0,0,0,0,0,0,0
3,50,6/5/2024,ZS,N,12,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0
4,50,6/5/2024,ZS,N,14,0,0,5,1,14,0,0,0,0,0,0,0,0,0,0
5,50,6/5/2024,ZS,N,14,1,0,3,0,10,0,0,0,0,0,0,0,0,0,0
6,50,6/5/2024,ZS,Y,1,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0
7,50,6/5/2024,ZS,Y,0,1,0,5,0,4,0,1,0,0,0,0,0,0,0,0
8,50,6/5/2024,ZS,Y,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0
9,50,6/5/2024,ZS,Y,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0
10,50,6/5/2024,ZS,Y,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
11,150,6/5/2024,ZS,N,22,0,2,1,6,15,0,17,0,8,4,3,0,0,0,0
12,150,6/5/2024,ZS,N,28,0,6,4,4,4,1,12,0,8,6,2,0,0,0,0
13,150,6/5/2024,ZS,N,21,0,4,1,3,14,0,13,0,9,2,3,0,0,0,0
14,150,6/5/2024,ZS,N,16,0,3,1,6,2,1,9,0,9,4,9,0,0,0,0
15,150,6/5/2024,ZS,N,14,0,2,4,0,16,3,8,0,2,0,0,0,0,0,0
16,150,6/5/2024,ZS,Y,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0
17,150,6/5/2024,ZS,Y,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
18,150,6/5/2024,ZS,Y,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
19,150,6/5/2024,ZS,Y,1,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0
20,150,6/5/2024,ZS,Y,1,0,0,5,0,9,0,1,0,0,0,0,0,0,0,0
21,50,6/5/2024,Z,N,NA,1,NA,11,NA,20,NA,6,NA,1,NA,0,NA,0,0,0
22,50,6/5/2024,Z,N,NA,0,NA,7,NA,20,NA,10,NA,0,NA,0,NA,0,0,0
23,50,6/5/2024,Z,Y,NA,1,NA,1,NA,6,NA,1,NA,0,NA,0,NA,0,0,0
24,50,6/5/2024,Z,Y,NA,0,NA,0,NA,4,NA,3,NA,0,NA,0,NA,0,0,0
25,150,6/6/2024,Z,N,NA,0,NA,0,NA,6,NA,0,NA,40,NA,15,NA,6,0,3
26,150,6/6/2024,Z,N,NA,0,NA,0,NA,3,NA,0,NA,35,NA,14,NA,8,0,0
27,150,6/6/2024,Z,Y,NA,0,NA,0,NA,14,NA,3,NA,15,NA,0,NA,0,0,0
28,150,6/6/2024,Z,Y,NA,0,NA,0,NA,11,NA,5,NA,18,NA,0,NA,0,0,0
